Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000152,K0010,1,0,F,N,97,E06
20160101000154,B0005,0,1,L2,L,0,E03
20160101000158,D0001,2,0,F,N,128,C08
20160101000156,C0004,3,0,R3,N,81,E03
20160101000154,F0007,1,0,F,N,5,A05
20160101000154,T0008,3,0,L3,L,79,A07
20160101000158,H0002,1,0,F,N,30,D06
20160101000154,D0009,0,1,F,N,0,B08
20160101000156,L0006,0,1,F,N,0,D08
20160101000158,H0003,0,1,F,N,12,C06
20160101000154,K0010,1,0,F,N,30,E02
20160101000156,B0005,0,1,R2,R,0,E09
20160101000158,C0004,4,0,R2,N,111,E02
20160101000200,D0001,0,0,R1,R,128,C07
20160101000156,F0007,5,0,F,N,30,A06
20160101000156,T0008,0,1,F,N,69,A04
20160101000200,H0002,0,2,R1,R,0,D05
20160101000156,D0009,3,0,F,N,15,B01
20160101000158,L0006,5,0,F,N,25,D10
20160101000200,H0003,0,1,L3,L,2,C06
20160101000156,K0010,1,0,F,N,35,E02
20160101000158,B0005,3,0,R2,R,15,E08
20160101000202,D0001,0,2,F,N,108,C07
20160101000200,C0004,2,0,R2,N,36,E06
20160101000158,T0008,5,0,F,N,28,A06
20160101000158,F0007,0,1,F,N,20,A06
20160101000202,H0002,0,2,F,N,0,D01
20160101000158,D0009,0,2,F,N,0,B05
20160101000200,L0006,0,0,R2,R,25,D07
20160101000202,H0003,4,0,F,N,22,C09
20160101000158,K0010,1,0,F,N,40,E09
20160101000200,B0005,0,3,F,N,0,E02
20160101000202,C0004,3,0,F,R,16,E07
20160101000204,D0001,0,2,F,N,88,C10
20160101000200,T0008,2,0,L3,L,38,A05
20160101000200,F0007,2,0,F,N,30,A03
20160101000204,H0002,1,0,F,N,5,D09
20160101000200,D0009,5,0,R1,R,25,B07
20160101000202,L0006,1,0,F,N,30,D07
20160101000204,H0003,5,0,L2,L,47,C01
20160101000200,K0010,0,1,F,N,30,E05
20160101000202,B0005,3,0,F,N,15,E04
20160101000206,D0001,1,0,R2,R,93,C06
20160101000204,C0004,0,2,R3,N,6,E10
20160101000202,F0007,1,0,F,N,10,A08
20160101000202,T0008,0,2,R2,R,18,A05
20160101000206,H0002,5,0,F,N,30,D02
20160101000202,D0009,4,0,F,N,45,B09
20160101000204,L0006,0,2,F,N,0,D10
20160101000206,H0003,1,0,R3,R,52,C01
20160101000202,K0010,0,2,F,N,10,E09
20160101000204,B0005,0,1,R1,R,5,E07
20160101000208,D0001,3,0,R1,R,108,C08
20160101000206,C0004,4,0,R2,R,36,E09
20160101000204,F0007,1,0,R1,R,15,A10
20160101000204,T0008,0,0,F,N,18,A01
20160101000208,H0002,1,0,L3,L,35,D05
20160101000204,D0009,3,0,F,N,60,B10
20160101000206,L0006,2,0,F,N,10,D04
20160101000208,H0003,0,1,F,N,42,C07
20160101000204,K0010,3,0,L2,L,25,E03
20160101000206,B0005,1,0,F,N,10,E10
20160101000210,D0001,1,0,F,N,113,C01
20160101000208,C0004,5,0,F,R,76,E04
20160101000206,F0007,3,0,L1,L,30,A06
20160101000206,T0008,0,0,F,N,18,A09
20160101000210,H0002,1,0,F,N,40,D04
20160101000206,D0009,3,0,F,N,75,B02
20160101000210,H0003,3,0,F,N,57,C07
20160101000208,L0006,1,0,L3,L,15,D03
20160101000206,K0010,3,0,F,N,40,E07
20160101000208,B0005,3,0,R3,R,25,E05
20160101000212,D0001,3,0,L2,L,128,C07
20160101000210,C0004,4,0,F,N,106,E09
20160101000208,F0007,5,0,R2,R,55,A05
20160101000208,T0008,3,0,F,N,33,A04
20160101000212,H0002,1,0,L1,L,45,D09
20160101000208,D0009,3,0,R3,R,90,B02
20160101000212,H0003,0,2,F,N,37,C04
20160101000210,L0006,3,0,L2,L,30,D02
20160101000208,K0010,0,1,F,N,30,E02
20160101000210,B0005,0,0,R2,R,25,E04
20160101000214,D0001,3,0,F,N,42,C09
20160101000212,C0004,3,0,L1,N,126,E07
20160101000210,F0007,3,0,F,N,70,A10
20160101000210,T0008,1,0,F,N,38,A08
20160101000214,H0002,5,0,F,N,70,D02
20160101000210,D0009,1,0,F,N,95,B04
20160101000214,H0003,1,0,F,N,42,C06
20160101000212,L0006,1,0,F,N,35,D02
20160101000210,K0010,1,0,F,N,10,E03
20160101000212,B0005,1,0,F,N,30,E09
20160101000216,D0001,1,0,F,N,47,C06
20160101000214,C0004,3,0,L1,N,146,E10
20160101000212,F0007,2,0,L2,L,24,A08
20160101000212,T0008,0,1,F,N,28,A06
20160101000216,H0002,1,0,F,N,75,D07
20160101000212,D0009,1,0,F,N,100,B09
20160101000214,L0006,0,1,F,N,25,D09
20160101000216,H0003,1,0,F,N,47,C02
20160101000212,K0010,2,0,L1,L,20,E07
20160101000214,B0005,3,0,F,N,45,E10
20160101000218,D0001,1,0,R2,R,52,C10
20160101000216,C0004,3,0,R1,N,166,E09
20160101000214,F0007,0,1,F,N,14,A07
20160101000214,T0008,1,0,F,N,33,A07
20160101000218,H0002,1,0,F,N,80,D09
20160101000214,D0009,0,1,R2,R,90,B02
20160101000218,H0003,3,0,F,N,62,C03
20160101000216,L0006,1,0,L2,L,30,D07
20160101000214,K0010,1,0,F,N,25,E09
20160101000216,B0005,2,0,R3,R,55,E05
20160101000220,D0001,3,0,F,N,67,C01
20160101000218,C0004,4,0,F,N,58,E04
20160101000216,F0007,1,0,F,N,19,A04
20160101000216,T0008,1,0,F,N,38,A05
20160101000216,D0009,3,0,F,N,105,B09
20160101000220,H0002,1,0,F,N,85,D01
20160101000218,L0006,0,3,R3,R,0,D09
20160101000220,H0003,0,1,F,N,52,C04
20160101000216,K0010,1,0,R3,R,30,E04
20160101000218,B0005,1,0,F,N,18,E05
20160101000222,D0001,1,0,F,N,72,C02
20160101000220,C0004,5,0,L3,R,98,E07
20160101000218,T0008,3,0,L2,L,53,A03
20160101000218,F0007,1,0,F,N,24,A02
20160101000222,H0002,3,0,L3,L,100,D06
20160101000218,D0009,3,0,R2,R,120,B09
20160101000220,L0006,1,0,L1,L,5,D01
20160101000222,H0003,1,0,L3,L,17,C10
20160101000218,K0010,5,0,F,N,55,E06
20160101000220,B0005,0,1,F,N,0,E08
20160101000224,D0001,0,2,R2,R,52,C10
20160101000222,C0004,3,0,L3,N,118,E06
20160101000220,T0008,3,0,F,N,68,A03
20160101000220,F0007,0,0,R1,R,24,A10
20160101000224,H0002,0,2,F,N,80,D01
20160101000220,D0009,5,0,F,N,145,B01
20160101000224,H0003,1,0,R3,R,22,C03
20160101000222,L0006,5,0,F,N,30,D02
20160101000220,K0010,1,0,F,N,60,E05
20160101000222,B0005,5,0,L3,L,25,E03
20160101000226,D0001,0,1,F,N,42,C03
20160101000224,C0004,5,0,F,N,158,E10
20160101000222,T0008,1,0,F,N,73,A09
20160101000222,F0007,0,0,F,N,24,A06
20160101000222,D0009,3,0,F,N,160,B02
20160101000226,H0002,4,0,F,N,100,D07
20160101000224,L0006,1,0,L3,L,35,D02
20160101000226,H0003,1,0,L1,L,27,C10
20160101000222,K0010,0,0,F,N,60,E01
20160101000224,B0005,0,2,F,N,5,E10
20160101000228,D0001,1,0,F,N,14,C07
20160101000226,C0004,3,0,F,N,178,E10
20160101000224,T0008,0,3,F,N,43,A02
20160101000224,F0007,2,0,F,N,34,A02
20160101000224,D0009,2,0,F,N,170,B09
20160101000228,H0002,4,0,F,N,120,D10
20160101000228,H0003,1,0,L1,L,32,C10
20160101000226,L0006,1,0,F,N,40,D03
20160101000224,K0010,2,0,F,N,21,E01
20160101000226,B0005,3,0,F,N,20,E04
20160101000230,D0001,0,1,L1,L,4,C10
20160101000228,C0004,4,0,R3,L,208,E08
20160101000226,F0007,1,0,F,N,39,A06
20160101000226,T0008,3,0,F,N,58,A07
20160101000230,H0002,3,0,F,N,135,D08
20160101000226,D0009,0,1,F,N,160,B09
20160101000228,L0006,1,0,L3,L,45,D03
20160101000230,H0003,1,0,R2,R,37,C04
20160101000226,K0010,0,1,F,N,11,E05
20160101000228,B0005,3,0,F,N,10,E02
20160101000232,D0001,2,0,L2,L,14,C07
20160101000230,C0004,2,0,F,N,218,E03
20160101000228,T0008,1,0,F,N,63,A08
20160101000228,F0007,1,0,R2,R,44,A03
20160101000228,D0009,2,0,F,N,170,B02
20160101000232,H0002,2,0,F,N,145,D06
20160101000230,L0006,3,0,F,N,60,D02
20160101000232,H0003,0,1,L3,L,27,C09
20160101000228,K0010,0,0,F,N,11,E08
20160101000230,B0005,3,0,L2,L,25,E08
20160101000234,D0001,3,0,F,N,29,C07
20160101000232,C0004,1,0,R1,R,223,E03
20160101000230,T0008,2,0,F,N,73,A07
20160101000230,F0007,1,0,F,N,49,A09
20160101000230,D0009,1,0,F,N,175,B10
20160101000234,H0002,1,0,F,N,150,D06
20160101000232,L0006,1,0,F,N,65,D04
20160101000234,H0003,2,0,F,N,37,C02
20160101000230,K0010,1,0,R2,R,16,E06
20160101000232,B0005,3,0,R3,R,40,E02
20160101000236,D0001,1,0,R1,R,34,C08
20160101000234,C0004,5,0,R1,L,250,E04
20160101000232,F0007,0,1,F,N,39,A08
20160101000232,T0008,0,1,F,N,63,A02
20160101000236,H0002,3,0,F,N,165,D01
20160101000232,D0009,2,0,R1,R,185,B01
20160101000236,H0003,0,1,F,N,27,C02
20160101000234,L0006,3,0,F,N,24,D08
20160101000232,K0010,1,0,L2,L,21,E01
20160101000234,B0005,2,0,F,N,50,E08
20160101000238,D0001,1,0,R3,R,39,C09
20160101000236,C0004,4,0,L2,N,250,E05
20160101000234,T0008,0,0,F,N,63,A09
20160101000234,F0007,3,0,R1,R,54,A07
20160101000234,D0009,0,1,L2,L,175,B03
20160101000238,H0002,5,0,F,N,190,D08
20160101000236,L0006,3,0,R2,R,39,D07
20160101000238,H0003,3,0,R2,R,42,C05
20160101000234,K0010,2,0,F,N,31,E08
20160101000236,B0005,0,0,F,N,50,E10
20160101000240,D0001,0,1,F,N,1,C05
20160101000238,C0004,3,0,F,R,250,E06
20160101000236,T0008,1,0,L2,L,68,A10
20160101000236,F0007,1,0,R1,R,17,A07
20160101000240,H0002,5,0,F,N,215,D01
20160101000236,D0009,3,0,L1,L,190,B03
20160101000240,H0003,0,0,F,N,42,C02
20160101000238,L0006,0,2,F,N,19,D07
20160101000236,K0010,1,0,F,N,36,E04
20160101000238,B0005,1,0,F,N,55,E07
20160101000242,D0001,0,0,F,N,1,C08
20160101000240,C0004,5,0,R3,N,75,E10
20160101000238,F0007,3,0,F,N,32,A06
20160101000238,T0008,1,0,F,N,73,A10
20160101000238,D0009,1,0,R3,R,195,B05
20160101000242,H0002,1,0,F,N,220,D04
20160101000240,L0006,1,0,F,N,24,D07
20160101000242,H0003,0,0,F,N,42,C10
20160101000238,K0010,0,1,F,N,26,E01
20160101000240,B0005,2,0,F,N,19,E01
20160101000244,D0001,2,0,R3,R,11,C04
20160101000242,C0004,2,0,L3,L,85,E07
20160101000240,F0007,3,0,R3,R,14,A01
20160101000240,T0008,5,0,F,N,98,A07
20160101000244,H0002,0,1,F,N,210,D03
20160101000240,D0009,0,0,R1,R,195,B02
20160101000242,L0006,0,1,F,N,14,D07
20160101000244,H0003,1,0,F,N,14,C07
20160101000240,K0010,2,0,R1,R,36,E06
20160101000242,B0005,0,2,R2,R,0,E02
20160101000246,D0001,1,0,L2,L,16,C08
20160101000244,C0004,4,0,L3,N,115,E05
20160101000242,F0007,0,1,F,N,0,A09
20160101000242,T0008,1,0,L2,L,30,A07
20160101000242,D0009,3,0,F,N,210,B04
20160101000246,H0002,0,1,F,N,200,D07
20160101000246,H0003,1,0,L3,L,19,C08
20160101000244,L0006,3,0,F,N,29,D05
20160101000242,K0010,1,0,F,N,41,E09
20160101000244,B0005,2,0,F,N,10,E05
20160101000248,D0001,1,0,F,N,21,C01
20160101000246,C0004,4,0,R2,L,145,E07
20160101000244,T0008,2,0,F,N,12,A06
20160101000244,F0007,3,0,L3,L,15,A05
20160101000248,H0002,1,0,F,N,205,D06
20160101000244,D0009,1,0,F,N,215,B08
20160101000248,H0003,1,0,F,N,24,C03
20160101000246,L0006,0,1,F,N,19,D03
20160101000244,K0010,4,0,F,N,61,E06
20160101000246,B0005,2,0,F,N,6,E05
20160101000250,D0001,0,2,F,N,0,C02
20160101000248,C0004,5,0,F,N,55,E05
20160101000246,F0007,1,0,F,N,20,A03
20160101000246,T0008,0,2,L3,L,0,A02
20160101000250,H0002,1,0,F,N,210,D06
20160101000246,D0009,2,0,F,N,225,B06
20160101000248,L0006,4,0,F,N,39,D06
20160101000250,H0003,3,0,F,N,39,C02
20160101000246,K0010,3,0,F,N,76,E06
20160101000248,B0005,1,0,L3,L,11,E08
20160101000252,D0001,5,0,F,N,25,C01
20160101000250,C0004,1,0,F,R,18,E04
20160101000248,T0008,3,0,L1,L,15,A02
20160101000248,F0007,0,2,R3,R,0,A10
20160101000252,H0002,0,2,F,N,190,D10
20160101000248,D0009,2,0,F,N,235,B03
20160101000250,L0006,1,0,F,N,44,D03
20160101000252,H0003,3,0,F,N,54,C02
20160101000248,K0010,0,0,L3,L,76,E05
20160101000250,B0005,4,0,F,N,31,E05
20160101000254,D0001,0,1,F,N,15,C02
20160101000252,C0004,0,2,F,N,8,E03
20160101000250,T0008,0,1,F,N,5,A04
20160101000250,F0007,0,1,L2,L,0,A07
20160101000254,H0002,3,0,L1,L,205,D03
20160101000250,D0009,0,1,F,N,225,B06
20160101000252,L0006,5,0,R3,R,69,D03
20160101000254,H0003,1,0,F,N,59,C03
20160101000250,K0010,0,1,F,N,66,E08
20160101000252,B0005,0,1,F,N,21,E01
20160101000256,D0001,3,0,F,N,30,C07
20160101000254,C0004,5,0,F,L,48,E08
20160101000252,T0008,0,0,F,N,5,A02
20160101000252,F0007,2,0,F,N,10,A10
20160101000256,H0002,0,2,F,N,185,D01
20160101000252,D0009,3,0,R3,R,240,B09
20160101000256,H0003,3,0,F,N,74,C02
20160101000254,L0006,3,0,F,N,84,D07
20160101000252,K0010,3,0,R2,R,81,E06
20160101000254,B0005,2,0,L2,L,31,E10
20160101000258,D0001,2,0,L3,L,40,C05
20160101000256,C0004,3,0,L1,N,68,E08
20160101000254,F0007,1,0,F,N,15,A02
20160101000254,T0008,2,0,F,N,15,A09
20160101000254,D0009,3,0,F,N,250,B06
20160101000258,H0002,4,0,F,N,205,D08
20160101000258,H0003,3,0,F,N,89,C05
20160101000256,L0006,0,1,F,N,74,D10
20160101000254,K0010,1,0,F,N,86,E06
20160101000256,B0005,1,0,L2,L,36,E02
20160101000300,D0001,2,0,F,N,50,C10
20160101000258,C0004,4,0,R2,L,98,E07
20160101000256,F0007,3,0,L2,L,30,A01
20160101000256,T0008,1,0,R2,R,20,A09
20160101000256,D0009,1,0,F,N,250,B08
20160101000300,H0002,3,0,R3,R,220,D06
20160101000300,H0003,1,0,F,N,94,C02
20160101000258,L0006,1,0,F,N,79,D09
20160101000256,K0010,0,0,F,N,86,E02
20160101000258,B0005,0,0,F,N,36,E09
20160101000302,D0001,0,2,F,N,30,C07
20160101000300,C0004,3,0,F,N,118,E03
20160101000258,F0007,0,2,R2,R,10,A05
20160101000258,T0008,0,0,L2,L,20,A02
20160101000258,D0009,2,0,F,N,250,B07
20160101000302,H0002,0,1,L2,L,56,D08
20160101000302,H0003,0,0,F,N,94,C04
20160101000300,L0006,1,0,F,N,84,D01
20160101000258,K0010,0,2,F,N,66,E04
20160101000300,B0005,3,0,F,N,51,E07
20160101000304,D0001,2,0,F,N,12,C10
20160101000302,C0004,4,0,L1,L,148,E09
20160101000300,T0008,1,0,R3,R,25,A07
20160101000300,F0007,1,0,R2,R,4,A02
20160101000300,D0009,2,0,F,N,75,B09
20160101000304,H0002,3,0,F,N,21,D07
20160101000304,H0003,3,0,F,N,109,C01
20160101000302,L0006,3,0,L3,L,99,D04
20160101000300,K0010,3,0,R2,R,81,E03
20160101000302,B0005,0,2,F,N,31,E10
20160101000306,D0001,1,0,R1,R,17,C05
20160101000304,C0004,1,0,L3,N,153,E02
20160101000302,T0008,3,0,L3,L,40,A01
20160101000302,F0007,5,0,L1,L,29,A05
20160101000306,H0002,0,2,F,N,1,D09
20160101000302,D0009,3,0,L1,L,90,B08
20160101000306,H0003,0,1,F,N,99,C06
20160101000304,L0006,3,0,F,N,34,D07
20160101000302,K0010,0,1,F,N,14,E10
20160101000304,B0005,4,0,F,N,51,E08
20160101000308,D0001,0,1,F,N,7,C01
20160101000306,C0004,0,0,F,N,153,E08
20160101000304,F0007,0,0,F,N,29,A09
20160101000304,T0008,1,0,R2,R,45,A02
20160101000304,D0009,2,0,F,N,100,B08
20160101000308,H0002,3,0,F,N,16,D03
20160101000308,H0003,1,0,F,N,104,C04
20160101000306,L0006,3,0,F,N,49,D07
20160101000304,K0010,2,0,F,N,24,E10
20160101000306,B0005,1,0,L2,L,56,E06
20160101000310,D0001,3,0,F,N,22,C01
20160101000308,C0004,4,0,F,N,183,E01
20160101000306,T0008,1,0,F,N,50,A07
20160101000306,F0007,0,1,F,N,19,A10
20160101000310,H0002,4,0,F,N,36,D06
20160101000306,D0009,3,0,R3,R,115,B04
20160101000310,H0003,3,0,F,N,119,C10
20160101000308,L0006,1,0,F,N,54,D05
20160101000306,K0010,3,0,F,N,39,E10
20160101000308,B0005,1,0,F,N,61,E10
20160101000312,D0001,1,0,R2,R,8,C07
20160101000310,C0004,5,0,L3,N,223,E02
20160101000308,F0007,1,0,F,N,24,A03
20160101000308,T0008,3,0,F,N,65,A01
20160101000308,D0009,3,0,L2,L,130,B06
20160101000312,H0002,1,0,F,N,41,D05
20160101000312,H0003,5,0,F,N,144,C05
20160101000310,L0006,1,0,F,N,59,D07
20160101000308,K0010,1,0,F,N,44,E09
20160101000310,B0005,0,0,F,N,61,E06
20160101000314,D0001,1,0,F,N,13,C01
20160101000312,C0004,1,0,R3,N,228,E06
20160101000310,T0008,2,0,F,N,75,A08
20160101000310,F0007,3,0,F,N,39,A01
20160101000310,D0009,0,2,F,N,110,B06
20160101000314,H0002,0,2,F,N,21,D03
20160101000314,H0003,0,3,R1,R,114,C08
20160101000312,L0006,0,0,F,N,59,D04
20160101000310,K0010,5,0,F,N,20,E09
20160101000312,B0005,2,0,F,N,71,E07
20160101000316,D0001,3,0,F,N,8,C03
20160101000314,C0004,4,0,R3,L,250,E09
20160101000312,T0008,1,0,F,N,80,A01
20160101000312,F0007,3,0,L1,L,54,A06
20160101000312,D0009,2,0,F,N,120,B02
20160101000316,H0002,0,1,F,N,11,D01
20160101000316,H0003,0,1,F,N,104,C05
20160101000314,L0006,2,0,F,N,69,D06
20160101000312,K0010,5,0,F,N,45,E03
20160101000314,B0005,4,0,R2,R,91,E02
20160101000318,D0001,0,0,R1,R,8,C06
20160101000316,C0004,5,0,R3,N,250,E03
20160101000314,F0007,0,1,R1,R,44,A05
20160101000314,T0008,0,1,F,N,70,A02
20160101000318,H0002,3,0,L1,L,26,D08
20160101000314,D0009,3,0,L3,L,135,B01
20160101000318,H0003,0,2,F,N,84,C04
20160101000316,L0006,5,0,F,N,94,D04
20160101000314,K0010,0,2,L2,L,25,E01
20160101000316,B0005,2,0,F,N,101,E10
20160101000320,D0001,2,0,F,N,18,C06
20160101000318,C0004,4,0,F,N,250,E04
20160101000316,T0008,5,0,R2,R,95,A08
20160101000316,F0007,4,0,F,N,64,A06
20160101000316,D0009,1,0,F,N,42,B04
20160101000320,H0002,0,1,F,N,16,D10
20160101000320,H0003,2,0,F,N,94,C03
20160101000318,L0006,3,0,L1,L,32,D07
20160101000316,K0010,2,0,F,N,35,E01
20160101000318,B0005,1,0,R1,R,106,E05
20160101000322,D0001,1,0,F,N,23,C03
20160101000320,C0004,4,0,R3,N,250,E01
20160101000318,F0007,3,0,F,N,79,A06
20160101000318,T0008,0,0,F,N,95,A03
20160101000322,H0002,0,1,F,N,6,D07
20160101000318,D0009,1,0,L2,L,47,B05
20160101000322,H0003,4,0,L3,L,114,C04
20160101000320,L0006,2,0,F,N,42,D01
20160101000318,K0010,3,0,F,N,50,E05
20160101000320,B0005,1,0,F,N,111,E10
20160101000324,D0001,0,1,F,N,13,C06
20160101000322,C0004,2,0,F,R,250,E03
20160101000320,F0007,1,0,L3,L,84,A02
20160101000320,T0008,3,0,F,N,110,A03
20160101000324,H0002,5,0,F,N,31,D05
20160101000320,D0009,0,1,F,N,37,B01
20160101000324,H0003,3,0,F,N,129,C10
20160101000322,L0006,1,0,F,N,47,D08
20160101000320,K0010,1,0,R1,R,55,E08
20160101000322,B0005,1,0,F,N,116,E02
20160101000326,D0001,5,0,F,N,38,C04
20160101000324,C0004,3,0,F,N,250,E04
20160101000322,F0007,4,0,F,N,104,A01
20160101000322,T0008,4,0,L1,L,130,A05
20160101000326,H0002,1,0,F,N,10,D01
20160101000322,D0009,0,1,F,N,27,B07
20160101000326,H0003,2,0,F,N,139,C03
20160101000324,L0006,4,0,F,N,20,D04
20160101000322,K0010,1,0,F,N,60,E09
20160101000324,B0005,0,0,F,N,34,E03
20160101000328,D0001,3,0,F,N,53,C08
20160101000326,C0004,4,0,R1,L,250,E04
20160101000324,T0008,1,0,F,N,135,A05
20160101000324,F0007,0,1,F,N,94,A09
20160101000324,D0009,0,1,F,N,17,B01
20160101000328,H0002,3,0,L2,L,25,D06
20160101000328,H0003,3,0,R2,R,154,C01
20160101000326,L0006,3,0,F,N,35,D08
20160101000324,K0010,0,1,F,N,50,E02
20160101000326,B0005,3,0,F,N,49,E02
20160101000330,D0001,5,0,F,N,78,C10
20160101000328,C0004,4,0,R1,N,250,E06
20160101000326,T0008,3,0,F,N,150,A08
20160101000326,F0007,1,0,F,N,99,A07
20160101000330,H0002,1,0,F,N,30,D01
20160101000326,D0009,2,0,F,N,27,B09
20160101000330,H0003,3,0,F,N,169,C10
20160101000328,L0006,0,3,F,N,5,D02
20160101000326,K0010,3,0,R2,R,65,E06
20160101000328,B0005,1,0,F,N,54,E04
20160101000332,D0001,0,1,F,N,68,C08
20160101000330,C0004,3,0,F,N,250,E01
20160101000328,F0007,2,0,L3,L,109,A04
20160101000328,T0008,3,0,F,N,165,A05
20160101000328,D0009,1,0,L3,L,32,B01
20160101000332,H0002,3,0,F,N,45,D01
20160101000332,H0003,1,0,F,N,174,C06
20160101000330,L0006,1,0,F,N,3,D03
20160101000328,K0010,0,2,L1,L,45,E02
20160101000330,B0005,0,2,F,N,34,E05
20160101000334,D0001,3,0,F,N,83,C05
20160101000332,C0004,3,0,L3,R,250,E02
20160101000330,T0008,1,0,R1,R,170,A03
20160101000330,F0007,3,0,L1,L,124,A06
20160101000334,H0002,0,2,F,N,25,D07
20160101000330,D0009,3,0,F,N,47,B04
20160101000332,L0006,4,0,F,N,23,D10
20160101000334,H0003,5,0,L1,L,199,C07
20160101000330,K0010,1,0,F,N,50,E09
20160101000332,B0005,1,0,F,N,39,E10
20160101000336,D0001,0,2,L1,L,63,C06
20160101000334,C0004,4,0,L1,L,250,E10
20160101000332,T0008,2,0,R3,R,180,A03
20160101000332,F0007,0,0,F,N,124,A07
20160101000336,H0002,1,0,R2,R,30,D07
20160101000332,D0009,2,0,R1,R,57,B07
20160101000334,L0006,3,0,F,N,38,D01
20160101000336,H0003,2,0,L3,L,209,C04
20160101000332,K0010,4,0,L2,L,70,E10
20160101000334,B0005,0,0,F,N,39,E09
20160101000338,D0001,2,0,F,N,73,C03
20160101000336,C0004,4,0,L1,N,250,E04
20160101000334,F0007,3,0,F,N,139,A09
20160101000334,T0008,1,0,F,N,185,A05
20160101000334,D0009,0,2,F,N,37,B08
20160101000338,H0002,5,0,F,N,16,D04
20160101000336,L0006,5,0,F,N,63,D08
20160101000338,H0003,0,1,F,N,199,C06
20160101000334,K0010,0,1,F,N,60,E09
20160101000336,B0005,0,0,F,N,11,E03
20160101000340,D0001,5,0,F,N,98,C09
20160101000338,C0004,3,0,F,N,250,E02
20160101000336,T0008,4,0,F,N,205,A05
20160101000336,F0007,1,0,F,N,43,A05
20160101000340,H0002,0,1,F,N,6,D07
20160101000336,D0009,0,2,F,N,17,B04
20160101000338,L0006,2,0,L2,L,73,D02
20160101000340,H0003,3,0,F,N,214,C05
20160101000336,K0010,1,0,F,N,65,E03
20160101000338,B0005,1,0,R1,R,16,E10
20160101000342,D0001,0,1,F,N,88,C09
20160101000340,C0004,5,0,F,N,250,E02
20160101000338,T0008,0,2,L2,L,185,A05
20160101000338,F0007,0,1,R3,R,33,A06
20160101000342,H0002,0,1,F,N,0,D09
20160101000338,D0009,2,0,F,N,27,B04
20160101000342,H0003,3,0,F,N,229,C03
20160101000340,L0006,0,2,F,N,53,D05
20160101000338,K0010,0,2,L2,L,0,E06
20160101000340,B0005,2,0,F,N,26,E08
20160101000344,D0001,0,1,F,N,78,C06
20160101000342,C0004,3,0,L1,R,250,E10
20160101000340,F0007,3,0,F,N,48,A09
20160101000340,T0008,0,1,L3,L,175,A10
20160101000344,H0002,5,0,R1,R,25,D06
20160101000340,D0009,0,2,F,N,0,B02
20160101000344,H0003,1,0,L2,L,234,C08
20160101000342,L0006,4,0,F,N,73,D08
20160101000340,K0010,0,2,F,N,0,E06
20160101000342,B0005,0,2,L1,L,6,E03
20160101000346,D0001,0,1,F,N,68,C04
20160101000344,C0004,3,0,F,N,250,E09
20160101000342,T0008,1,0,F,N,180,A10
20160101000342,F0007,1,0,R2,R,53,A08
20160101000342,D0009,3,0,F,N,15,B01
20160101000346,H0002,3,0,R2,R,40,D08
20160101000344,L0006,1,0,F,N,78,D06
20160101000346,H0003,1,0,F,N,239,C09
20160101000342,K0010,4,0,F,N,20,E07
20160101000344,B0005,0,2,F,N,0,E06
20160101000348,D0001,0,1,L2,L,10,C02
20160101000346,C0004,3,0,F,R,250,E07
20160101000344,F0007,5,0,F,N,78,A02
20160101000344,T0008,0,0,F,N,180,A03
20160101000348,H0002,3,0,F,N,55,D06
20160101000344,D0009,5,0,R1,R,40,B10
20160101000348,H0003,0,2,F,N,219,C02
20160101000346,L0006,0,1,L1,L,68,D07
20160101000344,K0010,5,0,F,N,45,E05
20160101000346,B0005,1,0,F,N,5,E05
20160101000350,D0001,5,0,F,N,35,C07
20160101000348,C0004,3,0,L2,N,250,E08
20160101000346,T0008,0,1,F,N,170,A02
20160101000346,F0007,0,1,F,N,68,A08
20160101000350,H0002,1,0,R2,R,60,D09
20160101000346,D0009,0,1,F,N,30,B09
20160101000350,H0003,3,0,F,N,234,C01
20160101000348,L0006,4,0,L1,L,88,D03
20160101000346,K0010,2,0,R3,R,55,E09
20160101000348,B0005,0,1,F,N,0,E01
20160101000352,D0001,3,0,R3,R,50,C06
20160101000350,C0004,3,0,L3,R,75,E07
20160101000348,F0007,3,0,F,N,83,A04
20160101000348,T0008,3,0,F,N,185,A03
20160101000348,D0009,0,1,F,N,20,B10
20160101000352,H0002,1,0,F,N,65,D04
20160101000350,L0006,1,0,F,N,93,D05
20160101000352,H0003,0,0,L3,L,234,C02
20160101000348,K0010,3,0,R2,R,70,E02
20160101000350,B0005,3,0,F,N,15,E10
20160101000354,D0001,5,0,L1,L,75,C10
20160101000352,C0004,1,0,L2,N,80,E06
20160101000350,T0008,0,1,F,N,175,A05
20160101000350,F0007,3,0,F,N,98,A02
20160101000350,D0009,0,1,F,N,10,B03
20160101000354,H0002,3,0,L1,L,80,D08
20160101000354,H0003,0,0,F,N,234,C10
20160101000352,L0006,0,1,F,N,83,D04
20160101000350,K0010,1,0,F,N,75,E09
20160101000352,B0005,0,1,R1,R,5,E09
20160101000356,D0001,1,0,F,N,80,C09
20160101000354,C0004,5,0,F,N,120,E08
20160101000352,T0008,2,0,R2,R,185,A04
20160101000352,F0007,2,0,F,N,108,A08
20160101000352,D0009,4,0,F,N,9,B05
